2023_10_25__18_12_26: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__18_12_26.txt' created successfully. 
2023_10_25__18_12_26: 197 Server: listening on port 22
2023_10_25__18_12_29: 212 Server: start receive data, blocking
2023_10_25__18_12_39: 222 Server: received whisper message: [whisper]:  You just flew this way?
2023_10_25__18_12_39: 227 Server: filtered whisper message: [whisper]  you just flew this way
2023_10_25__18_12_39: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__18_12_39: 357 Server: send msg: Error: cmd not recognized
2023_10_25__18_12_39: 212 Server: start receive data, blocking
2023_10_25__18_12_41: 222 Server: received whisper message: [whisper]:  Ska nert start.
2023_10_25__18_12_41: 227 Server: filtered whisper message: [whisper]  ska nert start
2023_10_25__18_12_41: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__18_12_41: 357 Server: send msg: Error: cmd not recognized
2023_10_25__18_12_41: 212 Server: start receive data, blocking
2023_10_25__18_12_45: 222 Server: received whisper message: [whisper]:  Skannerstahrt.
2023_10_25__18_12_45: 227 Server: filtered whisper message: [whisper]  skannerstahrt
2023_10_25__18_12_45: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__18_12_45: 357 Server: send msg: Error: cmd not recognized
2023_10_25__18_12_45: 212 Server: start receive data, blocking
2023_10_25__18_12_48: 222 Server: received whisper message: [whisper]:  Scanner start.
2023_10_25__18_12_48: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_25__18_12_48: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__18_12_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_12_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_13_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__18_14_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
