2023_10_25__17_47_02: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_47_02.txt' created successfully. 
2023_10_25__17_47_02: 197 Server: listening on port 22
2023_10_25__17_47_04: 212 Server: start receive data, blocking
2023_10_25__17_47_15: 222 Server: received whisper message: [whisper]:  I know.
2023_10_25__17_47_15: 227 Server: filtered whisper message: [whisper]  i know
2023_10_25__17_47_15: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_47_15: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_47_15: 212 Server: start receive data, blocking
2023_10_25__17_47_17: 222 Server: received whisper message: [whisper]:  I'm on the left is the question
2023_10_25__17_47_17: 227 Server: filtered whisper message: [whisper]  i'm on the left is the question
2023_10_25__17_47_17: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_47_17: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_47_17: 212 Server: start receive data, blocking
2023_10_25__17_47_34: 222 Server: received whisper message: [whisper]:  Scan the parts.
2023_10_25__17_47_34: 227 Server: filtered whisper message: [whisper]  scan the parts
2023_10_25__17_47_34: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_47_34: 357 Server: send msg: Error: cmd not recognized
2023_10_25__17_47_34: 212 Server: start receive data, blocking
2023_10_25__17_47_38: 222 Server: received whisper message: [whisper]:  Scanner start.
2023_10_25__17_47_38: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_25__17_47_38: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_47_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_47_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_48_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
